actedIn;Irreflexive,Antisymmetric
created;Irreflexive
dealsWith;Irreflexive
diedIn;Irreflexive,Antisymmetric
directed;Irreflexive,Antisymmetric
edited;Irreflexive,Antisymmetric
exports;Irreflexive,Antisymmetric
graduatedFrom;Irreflexive,Antisymmetric
happenedIn;Irreflexive,Antisymmetric
hasAcademicAdvisor;Irreflexive
hasCapital;Irreflexive,Antisymmetric,Transitive
hasChild;Irreflexive
hasCurrency;Irreflexive,Antisymmetric
hasGender;Irreflexive,Antisymmetric
hasMusicalRole;Irreflexive,Antisymmetric
hasNeighbor;Irreflexive,Symmetric
hasOfficialLanguage;Irreflexive,Antisymmetric
hasWebsite;Irreflexive,Antisymmetric
hasWonPrize;Irreflexive,Antisymmetric
imports;Irreflexive,Antisymmetric
influences;Irreflexive
isAffiliatedTo;Irreflexive
isCitizenOf;Irreflexive,Antisymmetric
isConnectedTo;Irreflexive,Symmetric
isInterestedIn;Irreflexive,Antisymmetric,Transitive
isKnownFor;Irreflexive,Transitive
isLeaderOf;Irreflexive,Antisymmetric
isLocatedIn;Irreflexive
isMarriedTo;Irreflexive,Symmetric
isPoliticianOf;Irreflexive,Antisymmetric
livesIn;Irreflexive,Antisymmetric
owns;Irreflexive
participatedIn;Irreflexive,Antisymmetric
playsFor;Irreflexive,Antisymmetric
wasBornIn;Irreflexive,Antisymmetric
worksAt;Irreflexive,Antisymmetric
wroteMusicFor;Irreflexive,Antisymmetric
