_also_see;Irreflexive,Symmetric
_derivationally_related_form;Symmetric
_has_part;Irreflexive,Antisymmetric
_hypernym;Irreflexive,Antisymmetric
_hyponym;Irreflexive,Antisymmetric
_instance_hypernym;Irreflexive,Antisymmetric
_instance_hyponym;Irreflexive,Antisymmetric
_member_holonym;Irreflexive,Antisymmetric
_member_meronym;Irreflexive,Antisymmetric
_member_of_domain_region;Irreflexive,Antisymmetric
_member_of_domain_topic;Irreflexive
_member_of_domain_usage;Irreflexive,Antisymmetric
_part_of;Irreflexive,Antisymmetric
_similar_to;Irreflexive,Symmetric
_synset_domain_region_of;Irreflexive,Antisymmetric
_synset_domain_topic_of;Irreflexive
_synset_domain_usage_of;Irreflexive,Antisymmetric
_verb_group;Irreflexive,Symmetric
